#         time [s]      timestep [s]  temperature [T9]  density [g/cm^3]
    1.15221175E+01    7.86801331E-01    2.01244657E-01    8.72120446E+05
    1.23232983E+01    8.01180837E-01    2.01330085E-01    8.72066606E+05
    1.31381705E+01    8.14872136E-01    2.01416972E-01    8.72010315E+05
    1.39659298E+01    8.27759313E-01    2.01504873E-01    8.71956345E+05
    1.48056750E+01    8.39745218E-01    2.01593443E-01    8.71901154E+05
    1.56564297E+01    8.50754733E-01    2.01683181E-01    8.71842747E+05
    1.65171650E+01    8.60735285E-01    2.01773690E-01    8.71788188E+05
    1.73868198E+01    8.69654782E-01    2.01864421E-01    8.71730956E+05
    1.82643257E+01    8.77505903E-01    2.01955967E-01    8.71671017E+05
    1.91486292E+01    8.84303463E-01    2.02047931E-01    8.71614539E+05
    2.00387051E+01    8.90075953E-01    2.02139775E-01    8.71557773E+05
    2.09335751E+01    8.94870013E-01    2.02232114E-01    8.71499983E+05
    2.18323195E+01    8.98744404E-01    2.02324473E-01    8.71442935E+05
    2.27340817E+01    9.01762196E-01    2.02416483E-01    8.71385451E+05
    2.36380778E+01    9.03996085E-01    2.02508728E-01    8.71327106E+05
    2.45435976E+01    9.05519792E-01    2.02601128E-01    8.71270768E+05
    2.54500005E+01    9.06402904E-01    2.02693089E-01    8.71214620E+05
    2.63567174E+01    9.06716903E-01    2.02784566E-01    8.71157144E+05
    2.72584343E+01    9.01716911E-01    2.02875545E-01    8.71099365E+05
    2.81515959E+01    8.93161596E-01    2.02965039E-01    8.71044941E+05
    2.90369448E+01    8.85348860E-01    2.03053350E-01    8.70990369E+05
    2.99151034E+01    8.78158588E-01    2.03140938E-01    8.70936563E+05
    3.07865719E+01    8.71468574E-01    2.03227220E-01    8.70882040E+05
    3.16518488E+01    8.65276808E-01    2.03312537E-01    8.70827119E+05
    3.25113451E+01    8.59496382E-01    2.03397284E-01    8.70776018E+05
    3.33653864E+01    8.54041266E-01    2.03481488E-01    8.70725865E+05
    3.42142672E+01    8.48880819E-01    2.03564613E-01    8.70674685E+05
    3.50583080E+01    8.44040732E-01    2.03646868E-01    8.70622317E+05
    3.58977831E+01    8.39475183E-01    2.03728679E-01    8.70570385E+05
    3.67329045E+01    8.35121398E-01    2.03809606E-01    8.70521017E+05
    3.75639069E+01    8.31002321E-01    2.03890047E-01    8.70471319E+05
    3.85490037E+01    9.85096882E-01    2.03985502E-01    8.70410287E+05
    3.95228463E+01    9.73842551E-01    2.04078633E-01    8.70355061E+05
    4.04863022E+01    9.63455861E-01    2.04170318E-01    8.70296277E+05
    4.14401773E+01    9.53875171E-01    2.04261939E-01    8.70240178E+05
    4.23852137E+01    9.45036344E-01    2.04351074E-01    8.70186943E+05
    4.46753039E+01    2.29009026E+00    2.04567374E-01    8.70052589E+05
    4.71355361E+01    2.46023212E+00    2.04797664E-01    8.69911076E+05
    4.97890744E+01    2.65353840E+00    2.05043699E-01    8.69762150E+05
    5.26626603E+01    2.87358588E+00    2.05307113E-01    8.69601742E+05
    5.57874822E+01    3.12482186E+00    2.05590837E-01    8.69426551E+05
    5.92001168E+01    3.41263466E+00    2.05897017E-01    8.69242308E+05
    6.29441561E+01    3.74403923E+00    2.06228322E-01    8.69039506E+05
    6.70723792E+01    4.12822317E+00    2.06588521E-01    8.68819520E+05
    7.16497216E+01    4.57734230E+00    2.06981871E-01    8.68582859E+05
    7.67579733E+01    5.10825179E+00    2.07413413E-01    8.68321680E+05
    8.25031230E+01    5.74514963E+00    2.07889386E-01    8.68035989E+05
    8.79643711E+01    5.46124817E+00    2.08333939E-01    8.67772361E+05
    9.31340509E+01    5.16967976E+00    2.08747507E-01    8.67523561E+05
