#         time [s]      timestep [s]  temperature [T9]  density [g/cm^3]
    6.17500627E-01    3.66273972E-02    2.01800000E-01    1.10900000E+06
    6.56140821E-01    3.86401940E-02    2.01800000E-01    1.10900000E+06
    6.97001060E-01    4.08602385E-02    2.01800000E-01    1.10900000E+06
    7.40319324E-01    4.33182640E-02    2.01800000E-01    1.10900000E+06
    7.85320703E-01    4.50013794E-02    2.01856639E-01    1.10900000E+06
    8.30504095E-01    4.51833924E-02    2.01900000E-01    1.10900000E+06
    8.76125905E-01    4.56218098E-02    2.01900000E-01    1.10900000E+06
    9.22435488E-01    4.63095826E-02    2.01900000E-01    1.10900000E+06
    9.69727438E-01    4.72919501E-02    2.01900000E-01    1.10900000E+06
    1.01834043E+00    4.86129900E-02    2.01900000E-01    1.10900000E+06
    1.06868276E+00    5.03423283E-02    2.01900000E-01    1.10900000E+06
    1.12126837E+00    5.25856129E-02    2.01953372E-01    1.10900000E+06
    1.17684072E+00    5.55723531E-02    2.02000000E-01    1.10900000E+06
    1.23637600E+00    5.95352796E-02    2.02000000E-01    1.10900000E+06
    1.29857469E+00    6.21986894E-02    2.02003302E-01    1.10900000E+06
    1.36112356E+00    6.25488643E-02    2.02045364E-01    1.10900000E+06
    1.42477896E+00    6.36554004E-02    2.02088180E-01    1.10900000E+06
    1.49022130E+00    6.54423475E-02    2.02100000E-01    1.10900000E+06
    1.55822025E+00    6.79989480E-02    2.02100000E-01    1.10900000E+06
    1.63020250E+00    7.19822467E-02    2.02100000E-01    1.10900000E+06
    1.70276739E+00    7.25648944E-02    2.02100000E-01    1.10900000E+06
    1.77655139E+00    7.37840004E-02    2.02100000E-01    1.10900000E+06
    1.85230592E+00    7.57545281E-02    2.02112589E-01    1.10900000E+06
    1.93085168E+00    7.85457573E-02    2.02144920E-01    1.10900000E+06
    2.01320191E+00    8.23502359E-02    2.02178824E-01    1.10900000E+06
    2.10097660E+00    8.77746900E-02    2.02214284E-01    1.10900000E+06
    2.19658275E+00    9.56061497E-02    2.02251864E-01    1.10900000E+06
    2.46697551E+00    2.70392756E-01    2.02300000E-01    1.10900000E+06
    2.75307946E+00    2.86103954E-01    2.02355395E-01    1.10844588E+06
    3.03560237E+00    2.82522907E-01    2.02447002E-01    1.10800000E+06
    3.32086730E+00    2.85264926E-01    2.02531977E-01    1.10800000E+06
    3.62121097E+00    3.00343668E-01    2.02614154E-01    1.10800000E+06
    3.99012279E+00    3.68911820E-01    2.02705233E-01    1.10800000E+06
    4.41606701E+00    4.25944220E-01    2.02798615E-01    1.10800000E+06
    4.88715577E+00    4.71088760E-01    2.02888930E-01    1.10800000E+06
    5.41284845E+00    5.25692680E-01    2.02981383E-01    1.10800000E+06
    6.00411880E+00    5.91270353E-01    2.03164055E-01    1.10800000E+06
    6.65688279E+00    6.52763988E-01    2.03290177E-01    1.10800000E+06
    7.31753657E+00    6.60653782E-01    2.03396562E-01    1.10703436E+06
    7.98558435E+00    6.68047780E-01    2.03601170E-01    1.10700000E+06
    8.66034280E+00    6.74758452E-01    2.03704007E-01    1.10700000E+06
    9.34111739E+00    6.80774591E-01    2.03810396E-01    1.10700000E+06
    1.00273708E+01    6.86253436E-01    2.04004826E-01    1.10700000E+06
    1.07183292E+01    6.90958359E-01    2.04102946E-01    1.10700000E+06
    1.14133225E+01    6.94993331E-01    2.04199634E-01    1.10700000E+06
    1.21118780E+01    6.98555529E-01    2.04294929E-01    1.10700000E+06
    1.28134806E+01    7.01602602E-01    2.04478017E-01    1.10700000E+06
    1.35174370E+01    7.03956347E-01    2.04581963E-01    1.10618027E+06
    1.42231893E+01    7.05752274E-01    2.04673879E-01    1.10600000E+06
    1.49304395E+01    7.07250210E-01    2.04764876E-01    1.10600000E+06
    1.56388301E+01    7.08390629E-01    2.04855052E-01    1.10600000E+06
    1.63480259E+01    7.09195819E-01    2.04944494E-01    1.10600000E+06
    1.70577307E+01    7.09704777E-01    2.05033281E-01    1.10600000E+06
    1.77676830E+01    7.09952325E-01    2.05121486E-01    1.10600000E+06
    1.84749920E+01    7.07309019E-01    2.05208848E-01    1.10600000E+06
    1.91738661E+01    6.98874077E-01    2.05294719E-01    1.10600000E+06
    1.98652980E+01    6.91431900E-01    2.05379300E-01    1.10600000E+06
    2.05501162E+01    6.84818193E-01    2.05400000E-01    1.10600000E+06
    2.12350581E+01    6.84941903E-01    2.05446144E-01    1.10600000E+06
    2.19176222E+01    6.82564048E-01    2.05529018E-01    1.10570968E+06
    2.25948154E+01    6.77193183E-01    2.05611115E-01    1.10500000E+06
    2.32676712E+01    6.72855820E-01    2.05692584E-01    1.10500000E+06
    2.39357399E+01    6.68068763E-01    2.05700000E-01    1.10500000E+06
    2.46064108E+01    6.70670856E-01    2.05754518E-01    1.10500000E+06
    2.52749509E+01    6.68540076E-01    2.05835364E-01    1.10500000E+06
    2.59390152E+01    6.64064293E-01    2.05900000E-01    1.10500000E+06
    2.66004915E+01    6.61476293E-01    2.05900000E-01    1.10500000E+06
    2.72656970E+01    6.65205516E-01    2.05976956E-01    1.10500000E+06
    2.79269783E+01    6.61281343E-01    2.06057773E-01    1.10500000E+06
    2.87398752E+01    8.12896859E-01    2.06100000E-01    1.10500000E+06
    2.95401021E+01    8.00226879E-01    2.06155963E-01    1.10500000E+06
    3.03296270E+01    7.89524937E-01    2.06200000E-01    1.10500000E+06
    3.11093624E+01    7.79735381E-01    2.06250064E-01    1.10500000E+06
    3.18804050E+01    7.71042608E-01    2.06300000E-01    1.10500000E+06
    3.26435666E+01    7.63161604E-01    2.06340910E-01    1.10500000E+06
    3.33995107E+01    7.55944122E-01    2.06400000E-01    1.10500000E+06
    3.41491830E+01    7.49672256E-01    2.06429111E-01    1.10500000E+06
    3.48927901E+01    7.43607100E-01    2.06511161E-01    1.10500000E+06
    3.56316218E+01    7.38831760E-01    2.06557464E-01    1.10500000E+06
    3.63655674E+01    7.33945594E-01    2.06602306E-01    1.10500000E+06
    3.84598832E+01    2.09431581E+00    2.06689548E-01    1.10500000E+06
    4.07743443E+01    2.31446107E+00    2.06779649E-01    1.10420340E+06
    4.33516593E+01    2.57731502E+00    2.06946024E-01    1.10400000E+06
    4.62349913E+01    2.88333200E+00    2.07139210E-01    1.10400000E+06
    4.94864467E+01    3.25145543E+00    2.07269721E-01    1.10400000E+06
    5.31985364E+01    3.71208964E+00    2.07522292E-01    1.10400000E+06
    5.74582532E+01    4.25971683E+00    2.07765630E-01    1.10400000E+06
    6.15399242E+01    4.08167103E+00    2.07954115E-01    1.10322926E+06
    6.55015083E+01    3.96158404E+00    2.08182309E-01    1.10300000E+06
    6.93379065E+01    3.83639822E+00    2.08444016E-01    1.10300000E+06
    7.30451402E+01    3.70723374E+00    2.08713928E-01    1.10300000E+06
    7.66292166E+01    3.58407636E+00    2.08895009E-01    1.10300000E+06
    8.01339205E+01    3.50470387E+00    2.09108374E-01    1.10278297E+06
    8.35510391E+01    3.41711860E+00    2.09367921E-01    1.10226384E+06
    8.68675721E+01    3.31653305E+00    2.09607864E-01    1.10200000E+06
    9.00940086E+01    3.22643645E+00    2.09828405E-01    1.10200000E+06
    9.32397318E+01    3.14572321E+00    2.10046910E-01    1.10192168E+06
    9.63084531E+01    3.06872136E+00    2.10272799E-01    1.10154487E+06
    9.93011632E+01    2.99271005E+00    2.10493327E-01    1.10117751E+06
    1.02222036E+02    2.92087240E+00    2.10713262E-01    1.10100000E+06
    1.05072785E+02    2.85074908E+00    2.10932430E-01    1.10100000E+06
    1.07855175E+02    2.78239012E+00    2.11146562E-01    1.10100000E+06
    1.10572869E+02    2.71769397E+00    2.11360359E-01    1.10091361E+06
    1.13228200E+02    2.65533108E+00    2.11581363E-01    1.10059755E+06
    1.15821634E+02    2.59343391E+00    2.11797439E-01    1.10028894E+06
    1.18356506E+02    2.53487218E+00    2.12009549E-01    1.09998633E+06
    1.20835746E+02    2.47924033E+00    2.12232921E-01    1.09966679E+06
    1.23257994E+02    2.42224811E+00    2.12451386E-01    1.09935468E+06
    1.25626431E+02    2.36843618E+00    2.12665215E-01    1.09904959E+06
    1.27944051E+02    2.31762070E+00    2.12888094E-01    1.09900000E+06
    1.30209471E+02    2.26542025E+00    2.13108798E-01    1.09900000E+06
    1.32424948E+02    2.21547630E+00    2.13324858E-01    1.09900000E+06
    1.34593451E+02    2.16850355E+00    2.13525780E-01    1.09879006E+06
    1.36721018E+02    2.12756669E+00    2.13717272E-01    1.09847075E+06
    1.38811809E+02    2.09079064E+00    2.13905620E-01    1.09815705E+06
    1.40868081E+02    2.05627203E+00    2.14113894E-01    1.09800000E+06
    1.42886283E+02    2.01820270E+00    2.14341822E-01    1.09800000E+06
    1.44863228E+02    1.97694433E+00    2.14565326E-01    1.09800000E+06
    1.46801871E+02    1.93864374E+00    2.14777714E-01    1.09787027E+06
    1.48706965E+02    1.90509388E+00    2.14975661E-01    1.09754010E+06
    1.50584095E+02    1.87712975E+00    2.15170881E-01    1.09721489E+06
    1.52435738E+02    1.85164266E+00    2.15367968E-01    1.09688653E+06
    1.54263478E+02    1.82774024E+00    2.15571399E-01    1.09654721E+06
    1.63402179E+02    9.13870118E+00    2.16646050E-01    1.09575624E+06
    1.77089838E+02    1.36876586E+01    2.18430503E-01    1.09400000E+06
    1.89630054E+02    1.25402165E+01    2.20238057E-01    1.09300000E+06
    2.01090609E+02    1.14605546E+01    2.22107388E-01    1.09100000E+06
    2.11557695E+02    1.04670857E+01    2.24039327E-01    1.08900000E+06
    2.21086753E+02    9.52905844E+00    2.26060142E-01    1.08709952E+06
    2.29714853E+02    8.62810024E+00    2.28049369E-01    1.08583528E+06
    2.37567384E+02    7.85253065E+00    2.30091157E-01    1.08363554E+06
    2.44725285E+02    7.15790105E+00    2.32250837E-01    1.08206133E+06
    2.51195222E+02    6.46993699E+00    2.34491570E-01    1.07973439E+06
    2.57041381E+02    5.84615857E+00    2.36804268E-01    1.07763184E+06
    2.62313842E+02    5.27246174E+00    2.39116932E-01    1.07547135E+06
    2.67092453E+02    4.77861042E+00    2.41475978E-01    1.07303425E+06
    2.69261614E+02    2.16916098E+00    2.42667936E-01    1.07247390E+06
    2.71320336E+02    2.05872212E+00    2.43905429E-01    1.07099320E+06
    2.75229610E+02    3.90927458E+00    2.46336578E-01    1.06918124E+06
    2.77008284E+02    1.77867339E+00    2.47597893E-01    1.06790189E+06
    2.78699522E+02    1.69123809E+00    2.48845491E-01    1.06668534E+06
    2.80311004E+02    1.61148217E+00    2.50167697E-01    1.06552620E+06
    2.82012250E+02    1.70124626E+00    2.51636233E-01    1.06430254E+06
    2.83621544E+02    1.60929379E+00    2.53110969E-01    1.06314503E+06
    2.85153054E+02    1.53151026E+00    2.54547754E-01    1.06108695E+06
    2.86634040E+02    1.48098571E+00    2.56134770E-01    1.05995645E+06
    2.88032224E+02    1.39818378E+00    2.57743873E-01    1.05894505E+06
    2.89353852E+02    1.32162806E+00    2.59264896E-01    1.05704380E+06
    2.90632979E+02    1.27912728E+00    2.60916424E-01    1.05600000E+06
    2.91850623E+02    1.21764391E+00    2.62647509E-01    1.05445190E+06
    2.93002687E+02    1.15206416E+00    2.64425472E-01    1.05279461E+06
    2.94092381E+02    1.08969339E+00    2.66149813E-01    1.05122700E+06
    2.95137694E+02    1.04531320E+00    2.67959058E-01    1.04972322E+06
    2.96135722E+02    9.98028195E-01    2.69879171E-01    1.04802078E+06
    2.97047653E+02    9.11930740E-01    2.71772270E-01    1.04612747E+06
    2.97908249E+02    8.60596085E-01    2.73672923E-01    1.04422667E+06
    2.98678485E+02    7.70236059E-01    2.75431454E-01    1.04236801E+06
    2.99409940E+02    7.31454883E-01    2.77288120E-01    1.04100000E+06
    3.00097676E+02    6.87735877E-01    2.79213576E-01    1.03968593E+06
    3.00743003E+02    6.45327227E-01    2.81113401E-01    1.03789668E+06
    3.01353090E+02    6.10087471E-01    2.83059570E-01    1.03612739E+06
    3.01928771E+02    5.75680323E-01    2.84979295E-01    1.03438189E+06
    3.02474788E+02    5.46017109E-01    2.86979848E-01    1.03265414E+06
    3.02958935E+02    4.84146646E-01    2.88829992E-01    1.03105820E+06
    3.03419313E+02    4.60378573E-01    2.90832191E-01    1.02847254E+06
    3.03766249E+02    3.46935678E-01    2.92392545E-01    1.02723601E+06
    3.04098920E+02    3.32671658E-01    2.93884509E-01    1.02601288E+06
    3.04421597E+02    3.22676394E-01    2.95470674E-01    1.02500000E+06
    3.04732619E+02    3.11022579E-01    2.97173325E-01    1.02303329E+06
    3.05031211E+02    2.98591634E-01    2.98781885E-01    1.02200000E+06
    3.05294217E+02    2.63006097E-01    3.00342466E-01    1.02017475E+06
    3.05549803E+02    2.55586295E-01    3.01853091E-01    1.01930825E+06
    3.05800885E+02    2.51081617E-01    3.03477496E-01    1.01740270E+06
    3.06044885E+02    2.44000412E-01    3.05142420E-01    1.01644653E+06
    3.06267701E+02    2.22815575E-01    3.06732157E-01    1.01451934E+06
    3.06484606E+02    2.16904862E-01    3.08362199E-01    1.01359709E+06
    3.06693302E+02    2.08696465E-01    3.09965416E-01    1.01170469E+06
    3.06897558E+02    2.04255690E-01    3.11670548E-01    1.01000000E+06
    3.07094020E+02    1.96461465E-01    3.13446571E-01    1.00894816E+06
    3.07267130E+02    1.73110109E-01    3.15026757E-01    1.00727283E+06
    3.07436230E+02    1.69100015E-01    3.16599421E-01    1.00569221E+06
    3.07602193E+02    1.65963657E-01    3.18328045E-01    1.00440789E+06
    3.07762451E+02    1.60258007E-01    3.20002160E-01    1.00315186E+06
    3.07916317E+02    1.53865890E-01    3.21801464E-01    1.00092735E+06
    3.08066948E+02    1.50630402E-01    3.23534162E-01    9.99680965E+05
    3.08195565E+02    1.28617139E-01    3.25111106E-01    9.98427466E+05
    3.08320703E+02    1.25138458E-01    3.26730284E-01    9.96987533E+05
    3.08429394E+02    1.08690723E-01    3.28223817E-01    9.95707420E+05
    3.08535420E+02    1.06026366E-01    3.29710918E-01    9.94432842E+05
    3.08639450E+02    1.04029240E-01    3.31199023E-01    9.93078871E+05
    3.08742006E+02    1.02556465E-01    3.32779284E-01    9.91776142E+05
    3.08842486E+02    1.00479984E-01    3.34377383E-01    9.90405985E+05
    3.08941297E+02    9.88110996E-02    3.35976417E-01    9.88921947E+05
    3.09039022E+02    9.77248021E-02    3.37690667E-01    9.87420436E+05
    3.09122115E+02    8.30926402E-02    3.39170221E-01    9.86125978E+05
    3.09204432E+02    8.23177461E-02    3.40654770E-01    9.84826723E+05
