#    ti [s]            T9 [GK]           de [g/cc]         R [km]       
  1.7973446321e+01  2.7089835993e-02  1.0000000000e+01  2.6981480228e+10
  1.8827116752e+01  2.5863249269e-02  1.0000000000e+01  2.8261100012e+10
  1.9721295754e+01  2.4692172375e-02  1.0000000000e+01  2.9601440616e+10
  2.0657905548e+01  2.3574095676e-02  1.0000000000e+01  3.1005383378e+10
  2.1638959572e+01  2.2506622780e-02  1.0000000000e+01  3.2475946364e+10
  2.2666566802e+01  2.1487465444e-02  1.0000000000e+01  3.4016290852e+10
  2.3742936294e+01  2.0514438717e-02  1.0000000000e+01  3.5629728129e+10
  2.4870381924e+01  1.9585456287e-02  1.0000000000e+01  3.7319726614e+10
  2.6051327371e+01  1.8698526045e-02  1.0000000000e+01  3.9089919305e+10
  2.7288311320e+01  1.7851745848e-02  1.0000000000e+01  4.0944111597e+10
  2.8583992923e+01  1.7043299465e-02  1.0000000000e+01  4.2886289460e+10
  2.9941157515e+01  1.6271452708e-02  1.0000000000e+01  4.4920628005e+10
  3.1362722602e+01  1.5534549739e-02  1.0000000000e+01  4.7051500463e+10
  3.2851744131e+01  1.4831009534e-02  1.0000000000e+01  4.9283487584e+10
  3.4411423061e+01  1.4159322518e-02  1.0000000000e+01  5.1621387484e+10
  3.6045112243e+01  1.3518047340e-02  1.0000000000e+01  5.4070225962e+10
  3.7756323630e+01  1.2905807795e-02  1.0000000000e+01  5.6635267302e+10
  3.9548735824e+01  1.2321289892e-02  1.0000000000e+01  5.9322025588e+10
  4.1426201984e+01  1.1763239039e-02  1.0000000000e+01  6.2136276563e+10
  4.3392758111e+01  1.1230457373e-02  1.0000000000e+01  6.5084070039e+10
  4.5452631724e+01  1.0721801190e-02  1.0000000000e+01  6.8171742907e+10
  4.7610250946e+01  1.0236178508e-02  1.0000000000e+01  7.1405932756e+10
  4.9870254024e+01  9.7725467283e-03  1.0000000000e+01  7.4793592146e+10
  5.2237499301e+01  9.3299104072e-03  1.0000000000e+01  7.8342003548e+10
  5.4717075661e+01  8.9073191262e-03  1.0000000000e+01  8.2058795005e+10
  5.7314313462e+01  8.5038654586e-03  1.0000000000e+01  8.5951956528e+10
  6.0034796005e+01  8.1186830278e-03  1.0000000000e+01  9.0029857271e+10
  6.2884371528e+01  7.7509446526e-03  1.0000000000e+01  9.4301263522e+10
  6.5869165781e+01  7.3998605761e-03  1.0000000000e+01  9.8775357550e+10
  6.8995595195e+01  7.0646767752e-03  1.0000000000e+01  1.0346175734e+11
  7.2270380675e+01  6.7446733450e-03  1.0000000000e+01  1.0837053729e+11
  7.5700562049e+01  6.4391629575e-03  1.0000000000e+01  1.1351224981e+11
  7.9293513199e+01  6.1474893883e-03  1.0000000000e+01  1.1889794810e+11
  8.3056957915e+01  5.8690261112e-03  1.0000000000e+01  1.2453920981e+11
  8.6998986497e+01  5.6031749549e-03  1.0000000000e+01  1.3044816200e+11
  9.1128073151e+01  5.3493648215e-03  1.0000000000e+01  1.3663750718e+11
  9.5453094198e+01  5.1070504618e-03  1.0000000000e+01  1.4312055064e+11
  9.9983347165e+01  4.8757113066e-03  1.0000000000e+01  1.4991122900e+11
  1.2587588834e+02  3.8729948589e-03  1.0000000000e+01  1.8872317182e+11
  1.3941605129e+03  1.0000000000e-03  1.0000000000e+01  2.0898339970e+12
  1.5439579301e+04  1.0000000000e-03  1.0000000000e+01  2.3143387108e+13
  1.7098336270e+05  1.0000000000e-03  1.0000000000e+01  2.5629765287e+14
  1.8935285513e+06  1.0000000000e-03  1.0000000000e+01  2.8383279334e+15
  2.0969584578e+07  1.0000000000e-03  1.0000000000e+01  3.1432616559e+16
  2.3222436961e+08  1.0000000000e-03  1.0000000000e+01  3.4809557291e+17
  2.5717322919e+09  1.0000000000e-03  1.0000000000e+01  3.8549297255e+18
  2.8480245169e+10  1.0000000000e-03  1.0000000000e+01  4.2690813518e+19
  3.1540000000e+11  1.0000000000e-03  1.0000000000e+01  4.7277270627e+20
