#    time [s]          t9 [GK]          density [g/cc]
  1.7937600000e+02  2.1479300000e-01  8.6405300000e+05
  1.8024900000e+02  2.1484800000e-01  8.6402000000e+05
  1.8112100000e+02  2.1490300000e-01  8.6398900000e+05
  1.8199300000e+02  2.1495700000e-01  8.6396000000e+05
  1.8286500000e+02  2.1501200000e-01  8.6392900000e+05
  1.8373800000e+02  2.1506600000e-01  8.6389800000e+05
  1.8461000000e+02  2.1512000000e-01  8.6386700000e+05
  1.8548200000e+02  2.1517400000e-01  8.6383800000e+05
  1.8635400000e+02  2.1522900000e-01  8.6380700000e+05
  1.8722600000e+02  2.1528200000e-01  8.6377800000e+05
  1.8809900000e+02  2.1533600000e-01  8.6374800000e+05
  1.8897100000e+02  2.1539000000e-01  8.6372000000e+05
  1.8984300000e+02  2.1544400000e-01  8.6369100000e+05
  1.9071500000e+02  2.1549800000e-01  8.6366200000e+05
  1.9158800000e+02  2.1555100000e-01  8.6363000000e+05
  1.9246000000e+02  2.1560500000e-01  8.6360200000e+05
  1.9333200000e+02  2.1565800000e-01  8.6357100000e+05
  1.9420400000e+02  2.1571100000e-01  8.6353900000e+05
  1.9507700000e+02  2.1576400000e-01  8.6351400000e+05
  1.9594900000e+02  2.1581800000e-01  8.6348300000e+05
  1.9682100000e+02  2.1587100000e-01  8.6345700000e+05
  1.9769300000e+02  2.1592400000e-01  8.6342600000e+05
  1.9856500000e+02  2.1597600000e-01  8.6339800000e+05
  1.9943800000e+02  2.1602900000e-01  8.6336700000e+05
  2.0031000000e+02  2.1608200000e-01  8.6333800000e+05
  2.0118200000e+02  2.1613500000e-01  8.6331000000e+05
  2.0205400000e+02  2.1618700000e-01  8.6328200000e+05
  2.0292700000e+02  2.1624000000e-01  8.6325300000e+05
  2.0379900000e+02  2.1629200000e-01  8.6322500000e+05
  2.0467100000e+02  2.1634400000e-01  8.6319600000e+05
  2.0554300000e+02  2.1639700000e-01  8.6316500000e+05
  2.0641500000e+02  2.1644900000e-01  8.6313900000e+05
  2.0728800000e+02  2.1650100000e-01  8.6310800000e+05
  2.0816000000e+02  2.1655300000e-01  8.6308000000e+05
  2.0903200000e+02  2.1660500000e-01  8.6305100000e+05
  2.0990400000e+02  2.1665700000e-01  8.6302300000e+05
  2.1077600000e+02  2.1670900000e-01  8.6299400000e+05
  2.1164900000e+02  2.1676100000e-01  8.6296900000e+05
  2.1252100000e+02  2.1681200000e-01  8.6293800000e+05
  2.1339300000e+02  2.1686400000e-01  8.6291200000e+05
  2.1426500000e+02  2.1691600000e-01  8.6288100000e+05
  2.1513800000e+02  2.1696700000e-01  8.6285600000e+05
  2.1601000000e+02  2.1701800000e-01  8.6282800000e+05
  2.1688200000e+02  2.1707000000e-01  8.6279900000e+05
  2.1775400000e+02  2.1712100000e-01  8.6277400000e+05
  2.1862700000e+02  2.1717200000e-01  8.6274300000e+05
  2.1949900000e+02  2.1722400000e-01  8.6271900000e+05
  2.2037100000e+02  2.1727500000e-01  8.6268700000e+05
  2.2124300000e+02  2.1732600000e-01  8.6266200000e+05
  2.2211500000e+02  2.1737700000e-01  8.6263400000e+05
  2.2298800000e+02  2.1742800000e-01  8.6260600000e+05
  2.2386000000e+02  2.1747900000e-01  8.6257800000e+05
  2.2473200000e+02  2.1753000000e-01  8.6255200000e+05
  2.2560400000e+02  2.1758100000e-01  8.6252400000e+05
  2.2647700000e+02  2.1763100000e-01  8.6249500000e+05
  2.2734900000e+02  2.1768200000e-01  8.6247100000e+05
  2.2822100000e+02  2.1773300000e-01  8.6244200000e+05
  2.2909300000e+02  2.1778300000e-01  8.6241700000e+05
  2.2996500000e+02  2.1783400000e-01  8.6238800000e+05
  2.3083800000e+02  2.1788400000e-01  8.6236000000e+05
  2.3171000000e+02  2.1793500000e-01  8.6233100000e+05
  2.3258200000e+02  2.1798500000e-01  8.6230600000e+05
  2.3345400000e+02  2.1803500000e-01  8.6227700000e+05
  2.3432700000e+02  2.1808600000e-01  8.6225200000e+05
  2.3519900000e+02  2.1813600000e-01  8.6222600000e+05
  2.3607100000e+02  2.1818600000e-01  8.6219800000e+05
  2.3694300000e+02  2.1823600000e-01  8.6216700000e+05
  2.3781500000e+02  2.1828700000e-01  8.6214200000e+05
  2.3868800000e+02  2.1833700000e-01  8.6211600000e+05
  2.3956000000e+02  2.1838700000e-01  8.6209100000e+05
  2.4043200000e+02  2.1843700000e-01  8.6206300000e+05
  2.4130400000e+02  2.1848700000e-01  8.6203400000e+05
  2.4217700000e+02  2.1853700000e-01  8.6200900000e+05
  2.4304900000e+02  2.1858600000e-01  8.6198000000e+05
  2.4392100000e+02  2.1863600000e-01  8.6195500000e+05
  2.4479300000e+02  2.1868600000e-01  8.6192900000e+05
  2.4566500000e+02  2.1873600000e-01  8.6190100000e+05
  2.4653800000e+02  2.1878600000e-01  8.6187500000e+05
  2.4741000000e+02  2.1883500000e-01  8.6185000000e+05
  2.4828200000e+02  2.1888500000e-01  8.6182100000e+05
  2.4915400000e+02  2.1893500000e-01  8.6179600000e+05
  2.5002700000e+02  2.1898400000e-01  8.6177000000e+05
  2.5089900000e+02  2.1903400000e-01  8.6174200000e+05
  2.5177100000e+02  2.1908300000e-01  8.6171600000e+05
  2.5264300000e+02  2.1913300000e-01  8.6169100000e+05
  2.5351500000e+02  2.1918200000e-01  8.6166500000e+05
  2.5438800000e+02  2.1923200000e-01  8.6163700000e+05
  2.5526000000e+02  2.1928100000e-01  8.6160800000e+05
  2.5613200000e+02  2.1933100000e-01  8.6158300000e+05
  2.5700400000e+02  2.1938000000e-01  8.6155700000e+05
  2.5787700000e+02  2.1942900000e-01  8.6153200000e+05
  2.5874900000e+02  2.1947900000e-01  8.6150300000e+05
  2.5962100000e+02  2.1952800000e-01  8.6147800000e+05
  2.6049300000e+02  2.1957700000e-01  8.6145200000e+05
  2.6136500000e+02  2.1962600000e-01  8.6142400000e+05
  2.6223800000e+02  2.1967600000e-01  8.6140100000e+05
  2.6311000000e+02  2.1972500000e-01  8.6137600000e+05
  2.6398200000e+02  2.1977400000e-01  8.6134700000e+05
  2.6485400000e+02  2.1982300000e-01  8.6132200000e+05
  2.6572700000e+02  2.1987200000e-01  8.6129600000e+05
  2.6659900000e+02  2.1992200000e-01  8.6126900000e+05
  2.6747100000e+02  2.1997100000e-01  8.6124000000e+05
  2.6834300000e+02  2.2002000000e-01  8.6121500000e+05
  2.6921500000e+02  2.2006900000e-01  8.6118900000e+05
  2.7008800000e+02  2.2011800000e-01  8.6116400000e+05
  2.7096000000e+02  2.2016700000e-01  8.6113800000e+05
  2.7183200000e+02  2.2021600000e-01  8.6111000000e+05
  2.7270400000e+02  2.2026500000e-01  8.6108400000e+05
